f_v,fc_v,t_v
0.00421742,7.70259e-11,1.105e+15
0.00405473,1.22803e-10,3.81574e+16
0.00405473,7.70154e-11,1.10692e+15
0.00389876,1.228e-10,3.8169e+16
0.00389876,7.70048e-11,1.1089e+15
0.00374923,1.22798e-10,3.81807e+16
0.00374923,7.6994e-11,1.11093e+15
0.00360586,1.22796e-10,3.81926e+16
0.00360586,7.69831e-11,1.11302e+15
0.0034684,1.22794e-10,3.82045e+16
0.0034684,7.6972e-11,1.11516e+15
0.0033366,1.22792e-10,3.82166e+16
0.0033366,7.69608e-11,1.11735e+15
0.00321022,1.2279e-10,3.82287e+16
0.00321022,7.69494e-11,1.11958e+15
0.00308902,1.22788e-10,3.82411e+16
0.00308902,7.6938e-11,1.12186e+15
0.0029728,1.22786e-10,3.82535e+16
0.0029728,7.69263e-11,1.12419e+15
0.00286133,1.22785e-10,3.8266e+16
0.00286133,7.69145e-11,1.12655e+15
0.00275442,1.22784e-10,3.82787e+16
0.00275442,7.69026e-11,1.12896e+15
0.00265186,1.22782e-10,3.82915e+16
0.00265186,7.68904e-11,1.13141e+15
0.00255347,1.22781e-10,3.83044e+16
0.00255347,7.68781e-11,1.1339e+15
0.00245909,1.2278e-10,3.83174e+16
0.00245909,7.68657e-11,1.13642e+15
0.00236852,1.22779e-10,3.83306e+16
0.00236852,7.68531e-11,1.13898e+15
0.00228161,1.22778e-10,3.83438e+16
0.00228161,7.68403e-11,1.14157e+15
0.00219821,1.22777e-10,3.83572e+16
0.00219821,7.68273e-11,1.14419e+15
0.00211816,1.22777e-10,3.83707e+16
0.00211816,7.68142e-11,1.14685e+15
0.00204132,1.22776e-10,3.83843e+16
0.00204132,7.68009e-11,1.14953e+15
0.00196755,1.22775e-10,3.8398e+16
0.00196755,7.67874e-11,1.15225e+15
0.00189673,1.22775e-10,3.84119e+16
0.00189673,7.67737e-11,1.15499e+15
0.00182872,1.22775e-10,3.84258e+16
0.00182872,7.67599e-11,1.15775e+15
0.0017634,1.22775e-10,3.84399e+16
0.0017634,7.67458e-11,1.16054e+15
0.00170067,1.22775e-10,3.84541e+16
0.00170067,7.67315e-11,1.16336e+15
0.00164041,1.22775e-10,3.84684e+16
0.00164041,7.67171e-11,1.16619e+15
0.00158252,1.22775e-10,3.84829e+16
0.00158252,7.67025e-11,1.16905e+15
0.0015269,1.22775e-10,3.84974e+16
0.0015269,7.66876e-11,1.17193e+15
0.00147344,1.22775e-10,3.85121e+16
0.00147344,7.66726e-11,1.17483e+15
0.00142207,1.22776e-10,3.85268e+16
0.00142207,7.66574e-11,1.17775e+15
0.00137269,1.22776e-10,3.85418e+16
0.00137269,7.6642e-11,1.18068e+15
0.00132522,1.22777e-10,3.85568e+16
0.00132522,7.66263e-11,1.18363e+15
0.00127958,1.22777e-10,3.85719e+16
0.00127958,7.66104e-11,1.1866e+15
0.00123568,1.22778e-10,3.85872e+16
0.00123568,7.65943e-11,1.18958e+15
0.00119347,1.22779e-10,3.86025e+16
0.00119347,7.6578e-11,1.19258e+15
0.00115287,1.2278e-10,3.8618e+16
0.00115287,7.65615e-11,1.19559e+15
0.00111381,1.22781e-10,3.86336e+16
0.00111381,7.65448e-11,1.19862e+15
0.00107623,1.22782e-10,3.86493e+16
0.00107623,7.65278e-11,1.20165e+15
0.00104006,1.22783e-10,3.86652e+16
0.00104006,7.65106e-11,1.2047e+15
0.00100526,1.22784e-10,3.86811e+16
0.00100526,7.64932e-11,1.20776e+15
0.000971756,1.22786e-10,3.86972e+16
0.000971756,7.64755e-11,1.21083e+15
0.000939504,1.22787e-10,3.87133e+16
0.000939504,7.64576e-11,1.2139e+15
0.000908452,1.22789e-10,3.87297e+16
0.000908452,7.64395e-11,1.21699e+15
0.00087855,1.2279e-10,3.8746e+16
0.00087855,7.64211e-11,1.22009e+15
0.000849751,1.22792e-10,3.87626e+16
0.000849751,7.64025e-11,1.22319e+15
0.000822011,1.22794e-10,3.87792e+16
0.000822011,7.63837e-11,1.2263e+15
0.000795288,1.22796e-10,3.8796e+16
0.000795288,7.63646e-11,1.22942e+15
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
